,date_time,wind_speed,wind_dir
0,2020-07-01 01:00:00,18,250
1,2020-07-01 04:00:00,18,230
2,2020-07-01 07:00:00,16,245
3,2020-07-01 10:00:00,18,250
4,2020-07-01 13:00:00,16,235
5,2020-07-01 16:00:00,16,220
6,2020-07-01 19:00:00,16,220
7,2020-07-01 22:00:00,23,255
8,2020-07-02 01:00:00,18,225
9,2020-07-02 04:00:00,17,225
10,2020-07-02 07:00:00,13,220
11,2020-07-02 10:00:00,26,235
12,2020-07-02 13:00:00,22,230
13,2020-07-02 16:00:00,29,245
14,2020-07-02 19:00:00,25,240
15,2020-07-02 22:00:00,22,240
16,2020-07-03 01:00:00,22,240
17,2020-07-03 04:00:00,21,240
18,2020-07-03 07:00:00,20,230
19,2020-07-03 10:00:00,21,225
20,2020-07-03 13:00:00,23,220
21,2020-07-03 16:00:00,28,230
22,2020-07-03 19:00:00,36,250
23,2020-07-03 22:00:00,24,260
24,2020-07-04 01:00:00,10,265
25,2020-07-04 04:00:00,12,230
26,2020-07-04 07:00:00,22,195
27,2020-07-04 10:00:00,18,220
28,2020-07-04 13:00:00,23,235
29,2020-07-04 16:00:00,22,255
30,2020-07-04 19:00:00,16,265
31,2020-07-04 22:00:00,17,250
32,2020-07-05 01:00:00,11,240
33,2020-07-05 04:00:00,11,260
34,2020-07-05 07:00:00,8,335
35,2020-07-05 10:00:00,5,295
36,2020-07-05 13:00:00,11,235
37,2020-07-05 16:00:00,11,220
38,2020-07-05 19:00:00,15,195
39,2020-07-05 22:00:00,18,225
40,2020-07-06 01:00:00,18,265
41,2020-07-06 04:00:00,12,285
42,2020-07-06 07:00:00,10,290
43,2020-07-06 10:00:00,6,285
44,2020-07-06 13:00:00,11,235
45,2020-07-06 16:00:00,14,220
46,2020-07-06 19:00:00,16,190
47,2020-07-06 22:00:00,17,190
48,2020-07-07 01:00:00,14,185
49,2020-07-07 04:00:00,12,185
50,2020-07-07 07:00:00,9,180
51,2020-07-07 10:00:00,14,170
52,2020-07-07 13:00:00,12,175
53,2020-07-07 16:00:00,18,180
54,2020-07-07 19:00:00,15,160
55,2020-07-07 22:00:00,18,170
56,2020-07-08 01:00:00,15,175
57,2020-07-08 04:00:00,15,175
58,2020-07-08 07:00:00,11,185
59,2020-07-08 10:00:00,15,200
60,2020-07-08 13:00:00,15,195
61,2020-07-08 16:00:00,18,195
62,2020-07-08 19:00:00,16,185
63,2020-07-08 22:00:00,16,175
64,2020-07-09 01:00:00,11,210
65,2020-07-09 04:00:00,11,220
66,2020-07-09 07:00:00,11,200
67,2020-07-09 10:00:00,11,210
68,2020-07-09 13:00:00,11,210
69,2020-07-09 16:00:00,12,215
70,2020-07-09 19:00:00,15,175
71,2020-07-09 22:00:00,16,180
72,2020-07-10 01:00:00,12,180
73,2020-07-10 04:00:00,12,220
74,2020-07-10 07:00:00,10,230
75,2020-07-10 10:00:00,10,230
76,2020-07-10 13:00:00,12,230
77,2020-07-10 16:00:00,15,210
78,2020-07-10 19:00:00,16,180
79,2020-07-10 22:00:00,16,195
80,2020-07-11 01:00:00,11,195
81,2020-07-11 04:00:00,11,230
82,2020-07-11 07:00:00,8,245
83,2020-07-11 10:00:00,5,270
84,2020-07-11 13:00:00,7,235
85,2020-07-11 16:00:00,9,235
86,2020-07-11 19:00:00,11,180
87,2020-07-11 22:00:00,17,165
88,2020-07-12 01:00:00,13,195
89,2020-07-12 04:00:00,7,195
90,2020-07-12 07:00:00,7,200
91,2020-07-12 10:00:00,10,195
92,2020-07-12 13:00:00,10,225
93,2020-07-12 16:00:00,16,200
94,2020-07-12 19:00:00,11,180
95,2020-07-12 22:00:00,11,180
96,2020-07-13 01:00:00,17,230
97,2020-07-13 04:00:00,19,210
98,2020-07-13 07:00:00,11,175
99,2020-07-13 10:00:00,13,185
100,2020-07-13 13:00:00,9,185
101,2020-07-13 16:00:00,12,190
102,2020-07-13 19:00:00,15,195
103,2020-07-13 22:00:00,16,235
104,2020-07-14 01:00:00,27,250
105,2020-07-14 04:00:00,13,210
106,2020-07-14 07:00:00,15,255
107,2020-07-14 10:00:00,9,0
108,2020-07-14 13:00:00,7,260
109,2020-07-14 16:00:00,9,245
110,2020-07-14 19:00:00,9,255
111,2020-07-14 22:00:00,11,215
112,2020-07-15 01:00:00,10,220
113,2020-07-15 04:00:00,7,230
114,2020-07-15 07:00:00,4,225
115,2020-07-15 10:00:00,9,210
116,2020-07-15 13:00:00,13,245
117,2020-07-15 16:00:00,10,250
118,2020-07-15 19:00:00,3,195
119,2020-07-15 22:00:00,9,185
120,2020-07-16 01:00:00,7,190
121,2020-07-16 04:00:00,7,200
122,2020-07-16 07:00:00,5,235
123,2020-07-16 10:00:00,3,295
124,2020-07-16 13:00:00,2,330
125,2020-07-16 16:00:00,6,195
126,2020-07-16 19:00:00,6,220
127,2020-07-16 22:00:00,8,210
128,2020-07-17 01:00:00,9,185
129,2020-07-17 04:00:00,10,205
130,2020-07-17 07:00:00,9,230
131,2020-07-17 10:00:00,11,235
132,2020-07-17 13:00:00,9,215
133,2020-07-17 16:00:00,12,190
134,2020-07-17 19:00:00,12,180
135,2020-07-17 22:00:00,13,180
136,2020-07-18 01:00:00,9,155
137,2020-07-18 04:00:00,9,175
138,2020-07-18 07:00:00,5,180
139,2020-07-18 10:00:00,10,175
140,2020-07-18 13:00:00,13,190
141,2020-07-18 16:00:00,12,185
142,2020-07-18 19:00:00,12,170
143,2020-07-18 22:00:00,11,165
144,2020-07-19 01:00:00,12,175
145,2020-07-19 04:00:00,12,195
146,2020-07-19 07:00:00,12,185
147,2020-07-19 10:00:00,15,190
148,2020-07-19 13:00:00,15,205
149,2020-07-19 16:00:00,15,205
150,2020-07-19 19:00:00,13,185
151,2020-07-19 22:00:00,12,185
152,2020-07-20 01:00:00,12,185
153,2020-07-20 04:00:00,14,175
154,2020-07-20 07:00:00,14,190
155,2020-07-20 10:00:00,14,225
156,2020-07-20 13:00:00,11,210
157,2020-07-20 16:00:00,13,195
158,2020-07-20 19:00:00,14,165
159,2020-07-20 22:00:00,17,150
160,2020-07-21 01:00:00,12,145
161,2020-07-21 04:00:00,13,145
162,2020-07-21 07:00:00,9,135
163,2020-07-21 10:00:00,10,125
164,2020-07-21 13:00:00,12,175
165,2020-07-21 16:00:00,13,195
166,2020-07-21 19:00:00,11,185
167,2020-07-21 22:00:00,11,180
168,2020-07-22 01:00:00,5,200
169,2020-07-22 04:00:00,5,175
170,2020-07-22 07:00:00,6,160
171,2020-07-22 10:00:00,12,135
172,2020-07-22 13:00:00,11,165
173,2020-07-22 16:00:00,14,160
174,2020-07-22 19:00:00,9,175
175,2020-07-22 22:00:00,11,175
176,2020-07-23 01:00:00,10,165
177,2020-07-23 04:00:00,14,165
178,2020-07-23 07:00:00,8,190
179,2020-07-23 10:00:00,8,170
180,2020-07-23 13:00:00,13,180
181,2020-07-23 16:00:00,12,185
182,2020-07-23 19:00:00,11,185
183,2020-07-23 22:00:00,12,190
184,2020-07-24 01:00:00,10,180
185,2020-07-24 04:00:00,10,180
186,2020-07-24 07:00:00,10,185
187,2020-07-24 10:00:00,15,160
188,2020-07-24 13:00:00,12,185
189,2020-07-24 16:00:00,8,190
190,2020-07-24 19:00:00,6,160
191,2020-07-24 22:00:00,11,155
192,2020-07-25 01:00:00,10,155
193,2020-07-25 04:00:00,9,165
194,2020-07-25 07:00:00,7,155
195,2020-07-25 10:00:00,6,170
196,2020-07-25 13:00:00,11,190
197,2020-07-25 16:00:00,14,190
198,2020-07-25 19:00:00,10,190
199,2020-07-25 22:00:00,10,170
200,2020-07-26 01:00:00,9,160
201,2020-07-26 04:00:00,11,165
202,2020-07-26 07:00:00,11,180
203,2020-07-26 10:00:00,11,200
204,2020-07-26 13:00:00,9,205
205,2020-07-26 16:00:00,16,180
206,2020-07-26 19:00:00,13,180
207,2020-07-26 22:00:00,14,180
208,2020-07-27 01:00:00,12,195
209,2020-07-27 04:00:00,9,195
210,2020-07-27 07:00:00,11,190
211,2020-07-27 10:00:00,15,200
212,2020-07-27 13:00:00,12,215
213,2020-07-27 16:00:00,14,200
214,2020-07-27 19:00:00,15,185
215,2020-07-27 22:00:00,16,180
216,2020-07-28 01:00:00,13,210
217,2020-07-28 04:00:00,13,215
218,2020-07-28 07:00:00,11,185
219,2020-07-28 10:00:00,10,210
220,2020-07-28 13:00:00,14,230
221,2020-07-28 16:00:00,12,215
222,2020-07-28 19:00:00,13,200
223,2020-07-28 22:00:00,15,200
224,2020-07-29 01:00:00,12,210
225,2020-07-29 04:00:00,11,225
226,2020-07-29 07:00:00,12,270
227,2020-07-29 10:00:00,11,290
228,2020-07-29 13:00:00,15,270
229,2020-07-29 16:00:00,17,265
230,2020-07-29 19:00:00,16,245
231,2020-07-29 22:00:00,24,270
232,2020-07-30 01:00:00,16,270
233,2020-07-30 04:00:00,18,255
234,2020-07-30 07:00:00,12,270
235,2020-07-30 10:00:00,20,265
236,2020-07-30 13:00:00,20,260
237,2020-07-30 16:00:00,22,260
238,2020-07-30 19:00:00,15,240
239,2020-07-30 22:00:00,25,255
240,2020-07-31 01:00:00,24,260
241,2020-07-31 04:00:00,22,255
242,2020-07-31 07:00:00,19,265
243,2020-07-31 10:00:00,21,265
244,2020-07-31 13:00:00,24,255
245,2020-07-31 16:00:00,23,245
246,2020-07-31 19:00:00,21,225
247,2020-07-31 22:00:00,33,245
248,2020-08-01 01:00:00,32,250
249,2020-08-01 04:00:00,27,255
250,2020-08-01 07:00:00,21,250
251,2020-08-01 10:00:00,28,245
252,2020-08-01 13:00:00,28,245
253,2020-08-01 16:00:00,30,245
254,2020-08-01 19:00:00,28,245
255,2020-08-01 22:00:00,38,250
256,2020-08-02 01:00:00,33,255
257,2020-08-02 04:00:00,38,255
258,2020-08-02 07:00:00,36,250
259,2020-08-02 10:00:00,43,245
260,2020-08-02 13:00:00,43,240
261,2020-08-02 16:00:00,47,255
262,2020-08-02 19:00:00,28,240
263,2020-08-02 22:00:00,37,245
264,2020-08-03 01:00:00,42,240
265,2020-08-03 04:00:00,45,245
266,2020-08-03 07:00:00,36,235
267,2020-08-03 10:00:00,44,240
268,2020-08-03 13:00:00,38,235
269,2020-08-03 16:00:00,33,235
270,2020-08-03 19:00:00,28,230
271,2020-08-03 22:00:00,28,230
272,2020-08-04 01:00:00,32,230
273,2020-08-04 04:00:00,32,230
274,2020-08-04 07:00:00,32,225
275,2020-08-04 10:00:00,28,230
276,2020-08-04 13:00:00,19,200
277,2020-08-04 16:00:00,29,210
278,2020-08-04 19:00:00,31,215
279,2020-08-04 22:00:00,30,225
280,2020-08-05 01:00:00,28,230
281,2020-08-05 04:00:00,29,240
282,2020-08-05 07:00:00,22,230
283,2020-08-05 10:00:00,26,245
284,2020-08-05 13:00:00,18,245
285,2020-08-05 16:00:00,17,250
286,2020-08-05 19:00:00,15,240
287,2020-08-05 22:00:00,14,240
288,2020-08-06 01:00:00,18,250
289,2020-08-06 04:00:00,19,260
290,2020-08-06 07:00:00,16,260
291,2020-08-06 10:00:00,19,250
292,2020-08-06 13:00:00,21,255
293,2020-08-06 16:00:00,19,255
294,2020-08-06 19:00:00,15,235
295,2020-08-06 22:00:00,14,255
296,2020-08-07 01:00:00,12,260
297,2020-08-07 04:00:00,6,195
298,2020-08-07 07:00:00,9,100
299,2020-08-07 10:00:00,15,135
300,2020-08-07 13:00:00,9,255
301,2020-08-07 16:00:00,10,200
302,2020-08-07 19:00:00,15,185
303,2020-08-07 22:00:00,11,210
304,2020-08-08 01:00:00,14,240
305,2020-08-08 04:00:00,18,235
306,2020-08-08 07:00:00,12,220
307,2020-08-08 10:00:00,19,235
308,2020-08-08 13:00:00,21,235
309,2020-08-08 16:00:00,20,230
310,2020-08-08 19:00:00,12,190
311,2020-08-08 22:00:00,15,200
312,2020-08-09 01:00:00,18,220
313,2020-08-09 04:00:00,18,200
314,2020-08-09 07:00:00,19,205
315,2020-08-09 10:00:00,16,200
316,2020-08-09 13:00:00,23,205
317,2020-08-09 16:00:00,27,210
318,2020-08-09 19:00:00,19,210
319,2020-08-09 22:00:00,21,210
320,2020-08-10 01:00:00,19,215
321,2020-08-10 04:00:00,22,225
322,2020-08-10 07:00:00,18,230
323,2020-08-10 10:00:00,20,235
324,2020-08-10 13:00:00,18,250
325,2020-08-10 16:00:00,30,245
326,2020-08-10 19:00:00,26,250
327,2020-08-10 22:00:00,23,260
328,2020-08-11 01:00:00,20,240
329,2020-08-11 04:00:00,20,255
330,2020-08-11 07:00:00,20,230
331,2020-08-11 10:00:00,23,235
332,2020-08-11 13:00:00,19,225
333,2020-08-11 16:00:00,20,230
334,2020-08-11 19:00:00,16,190
335,2020-08-11 22:00:00,18,250
336,2020-08-12 01:00:00,19,260
337,2020-08-12 04:00:00,20,250
338,2020-08-12 07:00:00,15,240
339,2020-08-12 10:00:00,16,205
340,2020-08-12 13:00:00,18,200
341,2020-08-12 16:00:00,23,190
342,2020-08-12 19:00:00,19,215
343,2020-08-12 22:00:00,24,260
344,2020-08-13 01:00:00,23,240
345,2020-08-13 04:00:00,21,250
346,2020-08-13 07:00:00,15,215
347,2020-08-13 10:00:00,14,225
348,2020-08-13 13:00:00,11,205
349,2020-08-13 16:00:00,21,185
350,2020-08-13 19:00:00,20,230
351,2020-08-13 22:00:00,22,240
352,2020-08-14 01:00:00,15,240
353,2020-08-14 04:00:00,9,205
354,2020-08-14 07:00:00,12,215
355,2020-08-14 10:00:00,17,225
356,2020-08-14 13:00:00,12,225
357,2020-08-14 16:00:00,14,205
358,2020-08-14 19:00:00,12,220
359,2020-08-14 22:00:00,3,135
360,2020-08-15 01:00:00,3,95
361,2020-08-15 04:00:00,1,115
362,2020-08-15 07:00:00,7,105
363,2020-08-15 10:00:00,9,165
364,2020-08-15 13:00:00,5,250
365,2020-08-15 16:00:00,2,260
366,2020-08-15 19:00:00,7,175
367,2020-08-15 22:00:00,7,250
368,2020-08-16 01:00:00,6,295
369,2020-08-16 04:00:00,7,325
370,2020-08-16 07:00:00,4,0
371,2020-08-16 10:00:00,4,310
372,2020-08-16 13:00:00,9,250
373,2020-08-16 16:00:00,8,235
374,2020-08-16 19:00:00,10,200
375,2020-08-16 22:00:00,12,195
376,2020-08-17 01:00:00,14,235
377,2020-08-17 04:00:00,19,245
378,2020-08-17 07:00:00,15,255
379,2020-08-17 10:00:00,17,245
380,2020-08-17 13:00:00,15,235
381,2020-08-17 16:00:00,13,215
382,2020-08-17 19:00:00,12,190
383,2020-08-17 22:00:00,12,215
384,2020-08-18 01:00:00,12,235
385,2020-08-18 04:00:00,12,250
386,2020-08-18 07:00:00,12,250
387,2020-08-18 10:00:00,15,260
388,2020-08-18 13:00:00,13,250
389,2020-08-18 16:00:00,9,225
390,2020-08-18 19:00:00,14,195
391,2020-08-18 22:00:00,14,190
392,2020-08-19 01:00:00,16,240
393,2020-08-19 04:00:00,19,265
394,2020-08-19 07:00:00,11,275
395,2020-08-19 10:00:00,12,250
396,2020-08-19 13:00:00,16,245
397,2020-08-19 16:00:00,12,235
398,2020-08-19 19:00:00,7,190
399,2020-08-19 22:00:00,10,175
400,2020-08-20 01:00:00,14,185
401,2020-08-20 04:00:00,13,220
402,2020-08-20 07:00:00,8,250
403,2020-08-20 10:00:00,11,240
404,2020-08-20 13:00:00,9,225
405,2020-08-20 16:00:00,11,200
406,2020-08-20 19:00:00,7,195
407,2020-08-20 22:00:00,9,145
408,2020-08-21 01:00:00,12,180
409,2020-08-21 04:00:00,15,210
